"","o","nn","NUMB_C","NUMB_CN","NUMB_FR","NUMB_CM","NUMB_PV","NUMB_RC","DENS_CCN","DENS_CNFR","DENS_FRCM","DENS_CMPV","DENS_PVRC","Q_VAR","RCC_VAR","DIFF_COST"
"1",1,1,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,128311.429963659
"2",2,2,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,39227748.9954623
"3",3,3,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,8743636.74585898
"4",4,4,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,260798.785920571
"5",5,5,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1484728.90744389
"6",6,6,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1631411.6160152
"7",7,7,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1551036.07748578
"8",8,8,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1222129.69514131
"9",9,9,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,913261.086935162
"10",10,10,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1404113.87738996
"11",11,11,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1993369.54905586
"12",12,12,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,954171.527563213
"13",13,13,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,509736.435784732
"14",14,14,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1783742.35076995
"15",15,15,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,-267647.980328497
"16",16,16,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,2106211.81228885
"17",17,17,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,-40285.5813829202
"18",18,18,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1808446.48816727
"19",19,19,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,24320091.8825949
"20",20,20,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,287113.341038799
"21",21,21,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1126845.06776283
"22",22,22,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,5865507.5618494
"23",23,23,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1660440.32778919
"24",24,24,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,3258222.16930976
"25",25,25,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,-64481.3357258357
"26",26,26,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1901366.95663862
"27",27,27,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,665038.699731287
"28",28,28,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,-605197.811144656
"29",29,29,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,206134.2720192
"30",30,30,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,-88752.7434399543
"31",31,31,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,2203558.79066982
"32",32,32,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,-557203.590337704
"33",33,33,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,-80745.1334489831
"34",34,34,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,392833.85697075
"35",35,35,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1421809.5576807
"36",36,36,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1155039.32908486
"37",37,37,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,2768505.16818878
"38",38,38,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,6088742.67264861
"39",39,39,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,2283881.93200938
"40",40,40,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,2073835.26780799
"41",41,41,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,-207048.390187099
"42",42,42,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,3650069.03235321
"43",43,43,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,-187579.059422473
"44",44,44,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,60235.2570724442
"45",45,45,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,391055.036349143
"46",46,46,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,4885474.69890537
"47",47,47,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,-210718.394353802
"48",48,48,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,687260.905995197
"49",49,49,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,7014434.09486003
"50",50,50,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,2694687.3840356
"51",51,51,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,680100.904580809
"52",52,52,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,230753.97122466
"53",53,53,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,-192030.123554763
"54",54,54,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1008320.91008398
"55",55,55,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,11027321.7716746
"56",56,56,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1247313.34731461
"57",57,57,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1739907.34315454
"58",58,58,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,140108.703993649
"59",59,59,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,2079919.95318175
"60",60,60,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,-189230.756968845
"61",61,61,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,3504377.57450151
"62",62,62,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,2941273.53966178
"63",63,63,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,23727.8180094824
"64",64,64,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,4295977.5826337
"65",65,65,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1404138.17256999
"66",66,66,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1707061.32836541
"67",67,67,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,465713.286886889
"68",68,68,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1350644.30026344
"69",69,69,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,10458962.2552776
"70",70,70,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,6520091.00654095
"71",71,71,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,270959.809748943
"72",72,72,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,614351.1309731
"73",73,73,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,777606.295482331
"74",74,74,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,851531.575894358
"75",75,75,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1189313.0864107
"76",76,76,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,2654301.85699726
"77",77,77,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,2173183.12628508
"78",78,78,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,913160.054005466
"79",79,79,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,3145458.13138637
"80",80,80,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1567215.95611813
"81",81,81,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,-97135.0411024788
"82",82,82,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,745306.942903489
"83",83,83,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,612329.316074464
"84",84,84,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,-512657.418391494
"85",85,85,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,195667.868641938
"86",86,86,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,738957.950423982
"87",87,87,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,2298314.66312727
"88",88,88,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1008968.58781309
"89",89,89,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1428997.49608462
"90",90,90,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1550837.78757768
"91",91,91,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,1605180.00763224
"92",92,92,3,3,3,9,3,3,2,2,0.2,0.2,2,-1,-1,688999.168015136
