"","o","nn","NUMB_C","NUMB_CN","NUMB_FR","NUMB_CM","NUMB_PV","NUMB_RC","DENS_CCN","DENS_CNFR","DENS_FRCM","DENS_CMPV","DENS_PVRC","Q_VAR","RCC_VAR","DENS_FRCM_m","DIFF_COST"
"1",1,1,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0
"2",2,2,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.592592592592593,0
"3",3,3,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"4",4,4,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"5",5,5,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"6",6,6,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.37037037037037,0
"7",7,7,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"8",8,8,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"9",9,9,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"10",10,10,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0
"11",11,11,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"12",12,12,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0
"13",13,13,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0
"14",14,14,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"15",15,15,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.407407407407407,0
"16",16,16,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"17",17,17,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"18",18,18,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"19",19,19,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0
"20",20,20,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.62962962962963,0
"21",21,21,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"22",22,22,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"23",23,23,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.407407407407407,0
"24",24,24,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"25",25,25,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"26",26,26,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"27",27,27,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.592592592592593,0
"28",28,28,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0
"29",29,29,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"30",30,30,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"31",31,31,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"32",32,32,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"33",33,33,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.37037037037037,0
"34",34,34,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"35",35,35,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.407407407407407,0
"36",36,36,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0
"37",37,37,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"38",38,38,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0
"39",39,39,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"40",40,40,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"41",41,41,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"42",42,42,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"43",43,43,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.62962962962963,0
"44",44,44,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.37037037037037,0
"45",45,45,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"46",46,46,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0
"47",47,47,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"48",48,48,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.592592592592593,0
"49",49,49,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"50",50,50,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"51",51,51,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.37037037037037,0
"52",52,52,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"53",53,53,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0
"54",54,54,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0
"55",55,55,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"56",56,56,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"57",57,57,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"58",58,58,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"59",59,59,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.592592592592593,0
"60",60,60,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"61",61,61,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.592592592592593,0
"62",62,62,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.592592592592593,0
"63",63,63,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"64",64,64,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"65",65,65,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.592592592592593,0
"66",66,66,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"67",67,67,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"68",68,68,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"69",69,69,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"70",70,70,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"71",71,71,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0
"72",72,72,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"73",73,73,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"74",74,74,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.37037037037037,0
"75",75,75,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.62962962962963,0
"76",76,76,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0
"77",77,77,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"78",78,78,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"79",79,79,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.407407407407407,0
"80",80,80,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.407407407407407,0
"81",81,81,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"82",82,82,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0
"83",83,83,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.407407407407407,0
"84",84,84,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"85",85,85,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0
"86",86,86,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.37037037037037,0
"87",87,87,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"88",88,88,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.62962962962963,0
"89",89,89,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"90",90,90,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.592592592592593,0
"91",91,91,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"92",92,92,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
