nn;NUMB_C;NUMB_CN;NUMB_FR;NUMB_CM;NUMB_PV;NUMB_RC;DENS_CCN;DENS_CNFR;DENS_FRCM;DENS_CMPV;DENS_PVRC;Q_VAR;RCC_VAR;DENS_FRCM_m;DIFF_COST
1;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
2;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
3;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
4;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
5;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
6;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
7;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
8;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.777777777777778;0
9;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
10;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.777777777777778;0
11;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
12;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
13;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
14;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
15;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
16;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
17;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.888888888888889;0
18;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
19;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
20;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
21;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
22;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
23;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
24;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
25;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
26;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
27;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
28;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
29;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
30;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
31;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
32;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
33;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
34;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
35;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
36;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
37;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
38;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
39;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
40;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
41;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
42;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
43;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
44;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
45;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
46;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
47;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
48;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.777777777777778;0
49;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.777777777777778;0
50;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
51;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.777777777777778;0
52;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
53;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
54;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
55;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
56;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
57;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
