"","o","nn","NUMB_C","NUMB_CN","NUMB_FR","NUMB_CM","NUMB_PV","NUMB_RC","DENS_CCN","DENS_CNFR","DENS_FRCM","DENS_CMPV","DENS_PVRC","Q_VAR","RCC_VAR","DENS_FRCM_m","DIFF_COST","Total cost of each product","CCB"
"C1",1,1,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,79.1615102600329,1.13087871800047
"C2",1,1,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,20.8384897399672,0.672209346450554
"C11",2,2,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,68.8324136968034,0.83941967922931
"C21",2,2,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,31.1675863031966,1.64039927911561
"C12",3,3,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,58.4507377441677,0.730634221802097
"C22",3,3,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,41.5492622558323,1.97853629789678
"C13",4,4,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,57.1651706221977,1.27033712493773
"C23",4,4,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,42.8348293778023,0.764907667460755
"C14",5,5,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,4.06390262948008,0.677317104913346
"C24",5,5,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,95.9360973705199,1.00985365653179
"C15",6,6,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,67.6999477657593,4.23124673535996
"C25",6,6,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,32.3000522342407,0.380000614520478
"C16",7,7,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,97.2885765301174,1.10555200602406
"C26",7,7,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,2.7114234698826,0.208571036144816
"C17",8,8,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,47.3221821662357,0.639488948192374
"C27",8,8,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,52.6778178337643,1.95103029013942
"C18",9,9,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,59.0261448313717,2.36104579325487
"C28",9,9,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,40.9738551686283,0.539129673271426
"C19",10,10,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,70.7636374317564,1.44415586595421
"C29",10,10,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,29.2363625682436,0.562237741696993
"C110",11,11,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,65.6318320504664,0.937597600720948
"C210",11,11,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,34.3681679495336,1.10865057901721
"C111",12,12,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,60.3999437071448,1.23265191239071
"C211",12,12,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,39.6000562928552,0.76153954409337
"C112",13,13,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,77.1732835382319,1.574964970168
"C212",13,13,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,22.8267164617681,0.438975316572464
"C113",14,14,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,99.2663490089831,1.00269039403013
"C213",14,14,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,0.733650991016906,0.366825495508453
"C114",15,15,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,74.3815028795624,0.907091498531249
"C214",15,15,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,25.6184971204376,1.34834195370724
"C115",16,16,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,3.58974358974359,0.512820512820513
"C215",16,16,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,96.4102564102564,1.02564102564103
"C116",17,17,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.888888888888889,0,88.3214172753,1.03907549735647
"C216",17,17,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.888888888888889,0,11.6785827247,0.729911420293751
"C117",18,18,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,68.8525525874975,1.07582113417965
"C217",18,18,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,31.1474474125025,0.841822903040607
"C118",19,19,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,24.3447408931754,0.412622727002973
"C218",19,19,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,75.6552591068246,1.80131569301963
"C119",20,20,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,27.6171066685532,0.746408288339275
"C219",20,20,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,72.3828933314468,1.13098270830386
"C120",21,21,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,91.8135707855434,1.1335008738956
"C220",21,21,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,8.18642921445658,0.409321460722829
"C121",22,22,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,29.0129598873201,0.547414337496607
"C221",22,22,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,70.9870401126798,1.47889666901416
"C122",23,23,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,23.6955484378348,0.430828153415179
"C222",23,23,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,76.3044515621652,1.65879242526446
"C123",24,24,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,67.3267326732673,0.99009900990099
"C223",24,24,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,32.6732673267327,0.99009900990099
"C124",25,25,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,50.4190048822808,1.14588647459729
"C224",25,25,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,49.5809951177192,0.869842019609109
"C125",26,26,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,44.9618478775676,0.725191094799478
"C225",26,26,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,55.0381521224324,1.41123466980596
"C126",27,27,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,41.509952628912,2.18473434889011
"C226",27,27,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,58.4900473710879,0.713293260623024
"C127",28,28,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,35.4216267394513,1.22143540480867
"C227",28,28,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,64.5783732605487,0.896921850840954
