"","o","nn","PRODUCT","CC"
"C1",1,1,1,79.1615102600329
"C2",1,1,2,20.8384897399672
"C11",2,2,1,68.8324136968034
"C21",2,2,2,31.1675863031966
"C12",3,3,1,58.4507377441677
"C22",3,3,2,41.5492622558323
"C13",4,4,1,57.1651706221977
"C23",4,4,2,42.8348293778023
"C14",5,5,1,4.06390262948008
"C24",5,5,2,95.9360973705199
"C15",6,6,1,67.6999477657593
"C25",6,6,2,32.3000522342407
"C16",7,7,1,97.2885765301174
"C26",7,7,2,2.7114234698826
"C17",8,8,1,47.3221821662357
"C27",8,8,2,52.6778178337643
"C18",9,9,1,59.0261448313717
"C28",9,9,2,40.9738551686283
"C19",10,10,1,70.7636374317564
"C29",10,10,2,29.2363625682436
"C110",11,11,1,65.6318320504664
"C210",11,11,2,34.3681679495336
"C111",12,12,1,60.3999437071448
"C211",12,12,2,39.6000562928552
"C112",13,13,1,77.1732835382319
"C212",13,13,2,22.8267164617681
"C113",14,14,1,99.2663490089831
"C213",14,14,2,0.733650991016906
"C114",15,15,1,74.3815028795624
"C214",15,15,2,25.6184971204376
"C115",16,16,1,3.58974358974359
"C215",16,16,2,96.4102564102564
"C116",17,17,1,88.3214172753
"C216",17,17,2,11.6785827247
"C117",18,18,1,68.8525525874975
"C217",18,18,2,31.1474474125025
"C118",19,19,1,24.3447408931754
"C218",19,19,2,75.6552591068246
"C119",20,20,1,27.6171066685532
"C219",20,20,2,72.3828933314468
"C120",21,21,1,91.8135707855434
"C220",21,21,2,8.18642921445658
"C121",22,22,1,29.0129598873201
"C221",22,22,2,70.9870401126798
"C122",23,23,1,23.6955484378348
"C222",23,23,2,76.3044515621652
"C123",24,24,1,67.3267326732673
"C223",24,24,2,32.6732673267327
"C124",25,25,1,50.4190048822808
"C224",25,25,2,49.5809951177192
"C125",26,26,1,44.9618478775676
"C225",26,26,2,55.0381521224324
"C126",27,27,1,41.509952628912
"C226",27,27,2,58.4900473710879
"C127",28,28,1,35.4216267394513
"C227",28,28,2,64.5783732605487
"C128",29,29,1,75.2475247524752
"C228",29,29,2,24.7524752475247
"C129",30,30,1,41.5352603770154
"C229",30,30,2,58.4647396229846
"C130",31,31,1,15.8255743905857
"C230",31,31,2,84.1744256094143
"C131",32,32,1,99.0891631800456
"C231",32,32,2,0.910836819954412
"C132",33,33,1,98.875419233201
"C232",33,33,2,1.12458076679902
"C133",34,34,1,17.2309030472216
"C233",34,34,2,82.7690969527784
"C134",35,35,1,69.2192652896089
"C234",35,35,2,30.7807347103911
"C135",36,36,1,27.5508440401647
"C235",36,36,2,72.4491559598353
"C136",37,37,1,40.4938220907942
"C236",37,37,2,59.5061779092059
"C137",38,38,1,55.4455445544554
"C237",38,38,2,44.5544554455446
"C138",39,39,1,89.8543314497324
"C238",39,39,2,10.1456685502676
"C139",40,40,1,17.8217821782178
"C239",40,40,2,82.1782178217822
"C140",41,41,1,86.9086173500424
"C240",41,41,2,13.0913826499576
"C141",42,42,1,81.4187526450577
"C241",42,42,2,18.5812473549423
"C142",43,43,1,54.6549643645808
"C242",43,43,2,45.3450356354192
"C143",44,44,1,10.1363725530741
"C243",44,44,2,89.8636274469259
"C144",45,45,1,69.1137009844424
"C244",45,45,2,30.8862990155576
"C145",46,46,1,20.1903637741524
"C245",46,46,2,79.8096362258476
"C146",47,47,1,90.8459942102641
"C246",47,47,2,9.15400578973594
"C147",48,48,1,39.3065758341197
"C247",48,48,2,60.6934241658803
"C148",49,49,1,23.0560495455791
"C248",49,49,2,76.9439504544209
"C149",50,50,1,31.5460488283143
"C249",50,50,2,68.4539511716857
"C150",51,51,1,35.5576885874298
"C250",51,51,2,64.4423114125701
