o;nn;PRODUCT; CC 
1;1;1; 79,16 
1;1;2; 20,84 
2;2;1; 68,83 
2;2;2; 31,17 
3;3;1; 58,45 
3;3;2; 41,55 
4;4;1; 57,17 
4;4;2; 42,83 
5;5;1; 4,06 
5;5;2; 95,94 
6;6;1; 67,70 
6;6;2; 32,30 
7;7;1; 97,29 
7;7;2; 2,71 
8;8;1; 47,32 
8;8;2; 52,68 
9;9;1; 59,03 
9;9;2; 40,97 
10;10;1; 70,76 
10;10;2; 29,24 
11;11;1; 65,63 
11;11;2; 34,37 
12;12;1; 60,40 
12;12;2; 39,60 
13;13;1; 77,17 
13;13;2; 22,83 
14;14;1; 99,27 
14;14;2; 0,73 
15;15;1; 74,38 
15;15;2; 25,62 
16;16;1; 3,59 
16;16;2; 96,41 
17;17;1; 88,32 
17;17;2; 11,68 
18;18;1; 68,85 
18;18;2; 31,15 
19;19;1; 24,34 
19;19;2; 75,66 
20;20;1; 27,62 
20;20;2; 72,38 
21;21;1; 91,81 
21;21;2; 8,19 
22;22;1; 29,01 
22;22;2; 70,99 
23;23;1; 23,70 
23;23;2; 76,30 
24;24;1; 67,33 
24;24;2; 32,67 
25;25;1; 50,42 
25;25;2; 49,58 
26;26;1; 44,96 
26;26;2; 55,04 
27;27;1; 41,51 
27;27;2; 58,49 
28;28;1; 35,42 
28;28;2; 64,58 
29;29;1; 75,25 
29;29;2; 24,75 
30;30;1; 41,54 
30;30;2; 58,46 
31;31;1; 15,83 
31;31;2; 84,17 
32;32;1; 99,09 
32;32;2; 0,91 
33;33;1; 98,88 
33;33;2; 1,12 
34;34;1; 17,23 
34;34;2; 82,77 
35;35;1; 69,22 
35;35;2; 30,78 
36;36;1; 27,55 
36;36;2; 72,45 
37;37;1; 40,49 
37;37;2; 59,51 
38;38;1; 55,45 
38;38;2; 44,55 
39;39;1; 89,85 
39;39;2; 10,15 
40;40;1; 17,82 
40;40;2; 82,18 
41;41;1; 86,91 
41;41;2; 13,09 
42;42;1; 81,42 
42;42;2; 18,58 
43;43;1; 54,65 
43;43;2; 45,35 
44;44;1; 10,14 
44;44;2; 89,86 
45;45;1; 69,11 
45;45;2; 30,89 
46;46;1; 20,19 
46;46;2; 79,81 
47;47;1; 90,85 
47;47;2; 9,15 
48;48;1; 39,31 
48;48;2; 60,69 
49;49;1; 23,06 
49;49;2; 76,94 
50;50;1; 31,55 
50;50;2; 68,45 
51;51;1; 35,56 
51;51;2; 64,44 
52;52;1; 80,97 
52;52;2; 19,03 
53;53;1; 82,01 
53;53;2; 17,99 
54;54;1; 87,48 
54;54;2; 12,52 
55;55;1; 8,41 
55;55;2; 91,59 
56;56;1; 77,85 
56;56;2; 22,15 
57;57;1; 88,19 
57;57;2; 11,81 
58;58;1; 48,22 
58;58;2; 51,78 
59;59;1; 17,34 
59;59;2; 82,66 
60;60;1; 91,51 
60;60;2; 8,49 
61;61;1; 11,93 
61;61;2; 88,07 
62;62;1; 8,08 
62;62;2; 91,92 
63;63;1; 47,90 
63;63;2; 52,10 
64;64;1; 5,47 
64;64;2; 94,53 
65;65;1; 74,48 
65;65;2; 25,52 
66;66;1; 74,26 
66;66;2; 25,74 
67;67;1; 30,08 
67;67;2; 69,92 
68;68;1; 65,46 
68;68;2; 34,54 
69;69;1; 98,33 
69;69;2; 1,67 
70;70;1; 10,68 
70;70;2; 89,32 
71;71;1; 25,74 
71;71;2; 74,26 
72;72;1; 97,28 
72;72;2; 2,72 
73;73;1; 24,92 
73;73;2; 75,08 
74;74;1; 88,66 
74;74;2; 11,34 
75;75;1; 44,66 
75;75;2; 55,34 
76;76;1; 28,05 
76;76;2; 71,95 
77;77;1; 56,18 
77;77;2; 43,82 
78;78;1; 2,11 
78;78;2; 97,89 
79;79;1; 14,38 
79;79;2; 85,62 
80;80;1; 99,02 
80;80;2; 0,98 
81;81;1; 94,06 
81;81;2; 5,94 
82;82;1; 45,91 
82;82;2; 54,09 
83;83;1; 4,25 
83;83;2; 95,75 
84;84;1; 28,80 
84;84;2; 71,20 
85;85;1; 20,28 
85;85;2; 79,72 
86;86;1; 97,70 
86;86;2; 2,30 
87;87;1; 38,19 
87;87;2; 61,81 
88;88;1; 13,24 
88;88;2; 86,76 
89;89;1; 16,15 
89;89;2; 83,85 
90;90;1; 43,85 
90;90;2; 56,15 
91;91;1; 78,08 
91;91;2; 21,92 
92;92;1; 62,77 
92;92;2; 37,23 
93;93;1; 74,86 
93;93;2; 25,14 
94;94;1; 66,90 
94;94;2; 33,10 
95;95;1; 5,94 
95;95;2; 94,06 
96;96;1; 18,78 
96;96;2; 81,22 
97;97;1; 84,16 
97;97;2; 15,84 
98;98;1; 29,83 
98;98;2; 70,17 
99;99;1; 39,16 
99;99;2; 60,84 
100;100;1; 23,54 
100;100;2; 76,46 
