"","nn","Customer","DEMAND","PVC","CMC","FRC","CNC","CCx","CC"
"1",1,1,7,25,23,32,15,36,38
"2",1,2,4,5,21,8,36,15,13
"3",2,1,9,20,19,28,14,14,35
"4",2,2,2,16,8,19,37,37,16
"5",3,1,8,26,25,11,15,8,25
"6",3,2,3,11,21,36,36,43,26
"7",4,1,5,9,10,21,17,34,30
"8",4,2,6,18,14,17,34,17,21
"9",5,1,1,30,12,25,38,19,4
"10",5,2,10,18,37,8,13,32,47
"11",6,1,2,24,10,6,48,49,36
"12",6,2,9,14,4,2,3,2,15
"13",7,1,9,16,1,13,7,47,48
"14",7,2,2,19,25,13,44,4,3
"15",8,1,8,8,29,8,8,8,24
"16",8,2,3,33,22,36,43,43,27
"17",9,1,3,18,15,24,41,46,32
"18",9,2,8,15,28,10,10,5,19
"19",10,1,5,4,17,12,41,41,35
"20",10,2,6,16,33,20,10,10,16
"21",11,1,7,25,15,11,6,23,30
"22",11,2,4,13,6,15,45,28,21
"23",12,1,5,17,10,15,14,32,29
"24",12,2,6,5,30,30,37,19,22
"25",13,1,5,9,5,10,10,41,38
"26",13,2,6,20,21,7,41,10,13
"27",14,1,10,21,15,2,8,43,49
"28",14,2,1,21,32,15,43,8,2
"29",15,1,9,12,42,5,21,21,38
"30",15,2,2,25,4,21,30,30,13
"31",16,1,1,20,5,1,12,12,3
"32",16,2,10,16,3,23,39,39,48
"33",17,1,9,25,15,7,40,31,44
"34",17,2,2,22,5,22,11,20,7
"35",18,1,7,12,16,8,29,29,35
"36",18,2,4,30,34,18,22,22,16
"37",19,1,6,5,1,37,44,4,11
"38",19,2,5,18,31,7,7,47,40
"39",20,1,4,8,9,16,13,19,14
"40",20,2,7,16,31,30,38,32,37
"41",21,1,9,11,3,2,16,43,47
"42",21,2,2,11,13,19,35,8,4
"43",22,1,6,17,35,39,42,5,16
"44",22,2,5,15,12,6,9,46,35
"45",23,1,6,20,7,40,7,4,12
"46",23,2,5,19,40,9,44,47,39
