Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8;Spalte9;Spalte10;Spalte11;Spalte12;Spalte13;Spalte14;Spalte15;Spalte16;Spalte17;
;nn;Customer;DEMAND;PVC;CMC;FRC;CNC;CCx;CC;;PVC/DEMAND;CMC/DEMAND;FRC/DEMAND;CNC/DEMAND;CCx/DEMAND;CC/DEMAND;
1;1;1;2;25;23;32;15;36;39;; 13 ; 12 ; 16 ; 8 ; 18 ; 20 ;
2;1;2;1;5;21;8;36;15;12;; 5 ; 21 ; 8 ; 36 ; 15 ; 12 ;
3;2;1;2;20;19;28;14;14;26;; 10 ; 10 ; 14 ; 7 ; 7 ; 13 ;
4;2;2;1;16;8;19;37;37;25;; 16 ; 8 ; 19 ; 37 ; 37 ; 25 ;
5;3;1;2;26;25;11;15;8;22;; 13 ; 13 ; 6 ; 8 ; 4 ; 11 ;
6;3;2;1;11;21;36;36;43;29;; 11 ; 21 ; 36 ; 36 ; 43 ; 29 ;
7;4;1;1;9;10;21;17;34;23;; 9 ; 10 ; 21 ; 17 ; 34 ; 23 ;
8;4;2;2;18;14;17;34;17;28;; 9 ; 7 ; 9 ; 17 ; 9 ; 14 ;
9;5;1;1;30;12;25;38;19;13;; 30 ; 12 ; 25 ; 38 ; 19 ; 13 ;
10;5;2;2;18;37;8;13;32;38;; 9 ; 19 ; 4 ; 7 ; 16 ; 19 ;
11;6;1;1;24;10;6;48;49;41;; 24 ; 10 ; 6 ; 48 ; 49 ; 41 ;
12;6;2;2;14;4;2;3;2;10;; 7 ; 2 ; 1 ; 2 ; 1 ; 5 ;
13;7;1;2;16;1;13;7;47;46;; 8 ; 1 ; 7 ; 4 ; 24 ; 23 ;
14;7;2;1;19;25;13;44;4;5;; 19 ; 25 ; 13 ; 44 ; 4 ; 5 ;
15;8;1;2;8;29;8;8;8;20;; 4 ; 15 ; 4 ; 4 ; 4 ; 10 ;
