"","nn","Customer","DEMAND","PVC","CMC","FRC","CNC","CCx","CC","INDEP","DENS_MEASURED","INFOCONT_A_FRCM"
"1",1,1,1,51,24,77,51,51,51,"decoupled",0.5,0
"2",1,2,1,51,77,24,51,51,51,"decoupled",0.5,0
"3",2,1,1,50,34,34,50,50,50,"decoupled",0.75,0.5
"4",2,2,1,50,67,67,50,50,50,"decoupled",0.75,0.5
"5",3,1,1,50,47,27,50,50,50,"decoupled",0.75,0.5
"6",3,2,1,50,54,74,50,50,50,"decoupled",0.75,0.5
"7",4,1,1,50,65,68,50,50,50,"decoupled",0.75,0.5
"8",4,2,1,50,36,33,50,50,50,"decoupled",0.75,0.5
"9",5,1,1,50,41,60,50,50,50,"decoupled",0.5,0
"10",5,2,1,50,60,41,50,50,50,"decoupled",0.5,0
"11",6,1,1,50,13,50,50,50,50,"CM 1, 2 causes coupling in FR 1",1,1
"12",6,2,1,50,88,50,50,50,50,"CM 1, 2 causes coupling in FR 1",1,1
"13",7,1,1,50,21,90,51,51,50,"decoupled",0.75,0.5
"14",7,2,1,50,80,11,51,51,50,"decoupled",0.75,0.5
"15",8,1,1,50,24,12,50,50,50,"decoupled",0.75,0.5
"16",8,2,1,50,77,89,50,50,50,"decoupled",0.75,0.5
"17",9,1,1,50,20,41,50,50,51,"decoupled",0.75,0.5
"18",9,2,1,50,81,60,50,50,51,"decoupled",0.75,0.5
"19",10,1,1,50,2,51,50,50,50,"decoupled",0.75,0.5
"20",10,2,1,50,99,50,50,50,50,"decoupled",0.75,0.5
"21",11,1,1,50,34,67,50,50,50,"decoupled",0.75,0.5
"22",11,2,1,50,67,34,50,50,50,"decoupled",0.75,0.5
"23",12,1,1,50,83,59,50,50,50,"decoupled",0.75,0.5
"24",12,2,1,50,18,42,50,50,50,"decoupled",0.75,0.5
"25",13,1,1,50,64,32,50,50,50,"decoupled",0.75,0.5
"26",13,2,1,50,36,68,50,50,50,"decoupled",0.75,0.5
"27",14,1,1,50,90,50,50,50,50,"CM 1, 2 causes coupling in FR 1",1,1
"28",14,2,1,50,11,50,50,50,50,"CM 1, 2 causes coupling in FR 1",1,1
"29",15,1,1,50,90,56,50,50,50,"decoupled",0.75,0.5
"30",15,2,1,50,11,45,50,50,50,"decoupled",0.75,0.5
"31",16,1,1,50,4,97,50,50,50,"decoupled",0.5,0
"32",16,2,1,50,97,4,50,50,50,"decoupled",0.5,0
"33",17,1,1,51,39,39,51,51,51,"decoupled",0.5,0
"34",17,2,1,51,62,62,51,51,51,"decoupled",0.5,0
"35",18,1,1,50,89,56,50,50,50,"decoupled",0.75,0.5
"36",18,2,1,50,12,45,50,50,50,"decoupled",0.75,0.5
"37",19,1,1,50,73,37,50,50,50,"decoupled",0.75,0.5
"38",19,2,1,50,28,64,50,50,50,"decoupled",0.75,0.5
"39",20,1,1,50,97,99,51,51,50,"decoupled",0.75,0.5
"40",20,2,1,50,4,2,51,51,50,"decoupled",0.75,0.5
"41",21,1,1,50,19,60,50,50,50,"decoupled",0.75,0.5
"42",21,2,1,50,82,41,50,50,50,"decoupled",0.75,0.5
"43",22,1,1,50,45,28,50,50,50,"decoupled",0.75,0.5
"44",22,2,1,50,55,73,50,50,50,"decoupled",0.75,0.5
"45",23,1,1,50,45,28,50,50,50,"decoupled",0.75,0.5
"46",23,2,1,50,56,73,50,50,50,"decoupled",0.75,0.5
"47",24,1,1,50,90,11,50,50,50,"decoupled",0.5,0
"48",24,2,1,50,11,90,50,50,50,"decoupled",0.5,0
"49",25,1,1,50,32,85,50,50,50,"decoupled",0.75,0.5
"50",25,2,1,50,69,16,50,50,50,"decoupled",0.75,0.5
"51",26,1,1,50,42,80,50,50,51,"decoupled",0.75,0.5
"52",26,2,1,50,59,21,50,50,51,"decoupled",0.75,0.5
"53",27,1,1,50,81,91,50,50,50,"decoupled",0.75,0.5
"54",27,2,1,50,19,10,50,50,50,"decoupled",0.75,0.5
"55",28,1,1,50,34,50,50,50,50,"CM 1, 2 causes coupling in FR 1",1,1
"56",28,2,1,50,67,50,50,50,50,"CM 1, 2 causes coupling in FR 1",1,1
"57",29,1,1,50,23,50,50,50,50,"CM 1, 2 causes coupling in FR 1",1,1
"58",29,2,1,50,78,50,50,50,50,"CM 1, 2 causes coupling in FR 1",1,1
"59",30,1,1,50,61,81,50,50,50,"decoupled",0.75,0.5
"60",30,2,1,50,40,20,50,50,50,"decoupled",0.75,0.5
"61",31,1,1,50,36,65,50,50,50,"decoupled",0.5,0
"62",31,2,1,50,65,36,50,50,50,"decoupled",0.5,0
"63",32,1,1,50,44,57,50,50,50,"decoupled",0.5,0
"64",32,2,1,50,57,44,50,50,50,"decoupled",0.5,0
"65",33,1,1,50,66,66,50,50,50,"decoupled",0.5,0
"66",33,2,1,50,35,35,50,50,50,"decoupled",0.5,0
"67",34,1,1,50,10,55,50,50,50,"decoupled",0.75,0.5
"68",34,2,1,50,91,46,50,50,50,"decoupled",0.75,0.5
"69",35,1,1,50,37,19,50,50,50,"decoupled",0.75,0.5
"70",35,2,1,50,64,82,50,50,50,"decoupled",0.75,0.5
"71",36,1,1,50,64,32,50,50,50,"decoupled",0.75,0.5
"72",36,2,1,50,37,69,50,50,50,"decoupled",0.75,0.5
"73",37,1,1,50,45,23,50,50,50,"decoupled",0.75,0.5
"74",37,2,1,50,56,78,50,50,50,"decoupled",0.75,0.5
"75",38,1,1,50,44,22,50,50,50,"decoupled",0.75,0.5
"76",38,2,1,50,57,79,50,50,50,"decoupled",0.75,0.5
"77",39,1,1,50,85,8,50,50,50,"decoupled",0.75,0.5
"78",39,2,1,50,16,93,50,50,50,"decoupled",0.75,0.5
"79",40,1,1,50,80,61,50,50,50,"decoupled",0.75,0.5
"80",40,2,1,50,21,40,50,50,50,"decoupled",0.75,0.5
"81",41,1,1,50,78,78,50,50,50,"decoupled",0.5,0
"82",41,2,1,50,23,23,50,50,50,"decoupled",0.5,0
"83",42,1,1,50,51,26,50,50,51,"decoupled",0.75,0.5
"84",42,2,1,50,50,75,50,50,51,"decoupled",0.75,0.5
"85",43,1,1,50,44,22,50,50,50,"decoupled",0.75,0.5
"86",43,2,1,50,57,79,50,50,50,"decoupled",0.75,0.5
